      1024 ,        8 ,    12.9293 ,  81.45
      1024 ,       32 ,    12.8824 ,  84.96
      1024 ,       64 ,    12.3219 ,  84.67
      1024 ,      128 ,    10.5960 ,  84.08
      1024 ,      256 ,    13.1040 ,  81.64
      4096 ,        8 ,    25.4574 ,  84.33
      4096 ,       32 ,    41.7074 ,  84.52
      4096 ,       64 ,    46.7495 ,  83.47
      4096 ,      128 ,    48.9297 ,  83.40
      4096 ,      256 ,    51.3438 ,  83.86
     16384 ,        8 ,   112.1086 ,  83.49
     16384 ,       32 ,   143.8202 ,  83.83
     16384 ,       64 ,   188.1661 ,  83.74
     16384 ,      128 ,   119.0421 ,  83.72
     16384 ,      256 ,   134.7014 ,  84.11
     65536 ,        8 ,   515.2201 ,  83.78
     65536 ,       32 ,   177.7006 ,  83.68
     65536 ,       64 ,   416.1756 ,  83.90
     65536 ,      128 ,   683.3500 ,  83.98
     65536 ,      256 ,   714.0865 ,  83.70
    262144 ,        8 ,   819.5278 ,  83.79
    262144 ,       32 ,  1513.6733 ,  83.85
    262144 ,       64 ,  2087.1338 ,  83.86
    262144 ,      128 ,  2355.3767 ,  83.73
    262144 ,      256 ,  2384.8617 ,  83.77
   1048576 ,        8 ,  1161.9446 ,  83.82
   1048576 ,       32 ,  3144.1183 ,  83.80
   1048576 ,       64 ,  4720.9336 ,  83.86
   1048576 ,      128 ,  5624.4420 ,  83.72
   1048576 ,      256 ,  5483.2665 ,  83.87
   2097152 ,        8 ,  1202.8486 ,  83.78
   2097152 ,       32 ,  3689.6746 ,  83.83
   2097152 ,       64 ,  5466.8001 ,  83.82
   2097152 ,      128 ,  6765.3557 ,  83.76
   2097152 ,      256 ,  6702.3928 ,  83.80
